0.75 0.3125 0.725603 0.335336
0.75 0.38125 0.72179 0.401314
0.75 0.45 0.718693 0.467126
0.75 0.51875 0.716319 0.532957
0.75 0.5875 0.714589 0.598944
0.75 0.65625 0.713383 0.665164
0.75 0.725 0.71258 0.731649
0.75 0.79375 0.712073 0.798396
0.75 0.8625 0.71178 0.865388
0.75 0.93125 0.711636 0.932597
0.75 1 0.711596 0.999997
0.875 -0.1 0.874424 -0.0704335
0.875 -0.03125 0.871598 -0.0017964
0.875 0.0375 0.868438 0.066635
0.875 0.10625 0.864958 0.134791
0.875 0.175 0.861213 0.202599
0.875 0.24375 0.857308 0.269995
0.875 0.3125 0.853397 0.336948
0.875 0.38125 0.84967 0.403476
0.875 0.45 0.846309 0.469655
0.875 0.51875 0.843451 0.53561
0.875 0.5875 0.841162 0.601483
0.875 0.65625 0.839434 0.667406
0.875 0.725 0.838208 0.733476
0.875 0.79375 0.837397 0.799756
0.875 0.8625 0.83691 0.86627
0.875 0.93125 0.836665 0.933022
0.875 1 0.836596 0.999999
1 -0.1 0.998318 -0.0704586
1 -0.03125 0.996223 -0.00182353
1 0.0375 0.993871 0.0666908
1 0.10625 0.991244 0.135041
1 0.175 0.988337 0.203173
1 0.24375 0.985167 0.271025
1 0.3125 0.981787 0.338533
1 0.38125 0.97829 0.405642
1 0.45 0.974817 0.472324
1 0.51875 0.971534 0.538599
1 0.5875 0.968613 0.604538
1 0.65625 0.966182 0.670262
1 0.725 0.964308 0.735914
1 0.79375 0.962984 0.801628
1 0.8625 0.962151 0.86751
1 0.93125 0.96172 0.933624
1 1 0.961596 1
